OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RADUGA 1,1975-123A,2025-03-10T16:51:38.567808,1.00295875,.0004835,4.0024,274.1371,265.2725,313.9210,0,U,8513,999,19016,0,-.83E-6,0
TITAN 3C TRANSTAGE R/B,1975-118C,2025-03-10T02:34:39.198432,1.00555582,.0012364,3.4636,268.7235,198.3904,161.2360,0,U,8516,999,2111,0,-.43E-6,0
CTS,1976-004A,2025-03-10T14:22:11.963712,1.00319966,.0011301,5.1263,278.6411,268.9201,120.2114,0,U,8585,999,11765,0,-.27E-5,0
INTELSAT 4A-F2,1976-010A,2025-03-10T16:51:38.567808,0.99681433,.00054,8.8938,307.2676,296.2918,247.7811,0,U,8620,999,61599,0,.34E-6,0
LES-8,1976-023A,2025-03-10T10:47:59.264736,1.00278116,.0032716,21.5331,42.9484,144.3891,37.0682,0,U,8746,999,12503,0,-.11E-5,0
LES-9,1976-023B,2025-03-10T10:47:21.732576,1.00273646,.0024417,21.4940,42.9580,168.1639,10.8109,0,U,8747,999,12502,0,-.95E-6,0
COMSTAR 1,1976-042A,2025-03-10T07:04:58.113120,0.99827709,.0004182,8.9549,308.0014,350.8660,169.0561,0,U,8838,999,11594,0,.36E-6,0
TITAN 3C TRANSTAGE R/B,1976-059C,2025-03-10T05:27:06.762240,1.00542951,.0008514,3.9256,270.6802,251.4368,108.1853,0,U,8918,999,2078,0,.124E-5,0
PALAPA 1,1976-066A,2025-03-09T23:15:03.848256,1.00109248,.0002854,8.8708,308.3469,220.5229,336.7384,0,U,9009,999,12329,0,-.141E-5,0
COMSTAR 2,1976-073A,2025-03-10T15:12:59.588064,0.99970942,.0000538,8.8975,308.4330,75.3271,114.6884,0,U,9047,999,4257,0,-.285E-5,0
RADUGA 2,1976-092A,2025-03-10T15:08:36.862080,1.00273389,.0029202,4.6754,276.6082,26.5711,178.9035,0,U,9416,999,12469,0,-.219E-5,0
KIKU-2 (ETS-II),1977-014A,2025-03-10T18:58:18.730848,1.00024574,.0000873,6.4356,288.1773,97.9714,237.3334,0,U,9852,999,12258,0,-.95E-6,0
TITAN 3C TRANSTAGE R/B,1977-007C,2025-03-10T13:27:34.498080,1.00204462,.0016566,4.5921,275.3986,35.1894,324.6872,0,U,9855,999,2071,0,-.163E-5,0
PALAPA 2,1977-018A,2025-03-10T20:00:48.044160,1.00042426,.0003551,9.5728,313.4718,105.2343,79.2098,0,U,9862,999,13845,0,.104E-5,0
RADUGA 3,1977-071A,2025-03-10T15:09:51.926400,1.00195311,.0008076,5.3085,279.8392,284.6707,282.2604,0,U,10159,999,17239,0,-.242E-5,0
SIRIO,1977-080A,2025-03-10T15:05:14.186688,1.00272815,.0006933,8.2630,302.8036,147.1603,19.2253,0,U,10294,999,11327,0,-.105E-5,0
EKRAN 2,1977-092A,2025-03-10T18:23:54.453408,1.00278385,.0040557,5.4259,280.8262,7.5484,206.5555,0,U,10365,999,13020,0,.89E-6,0
METEOSAT-1,1977-108A,2025-03-10T15:05:44.213280,1.00157928,.0010871,6.2428,286.4238,81.7182,103.0911,0,U,10489,999,13256,0,-.97E-6,0
INTELSAT 4A-F3,1978-002A,2025-03-10T11:57:55.376640,0.99916776,.0003313,9.8711,315.7761,290.3434,240.7203,0,U,10557,999,4411,0,-.347E-5,0
INTELSAT 4A-F6,1978-035A,2025-03-10T20:00:40.536864,1.00349193,.0007146,9.6609,314.8315,304.2650,238.6215,0,U,10778,999,11751,0,.125E-5,0
OPS 8790,1978-038A,2025-03-10T15:15:52.236864,1.00488021,.0015829,4.3363,318.9704,299.2388,251.2051,0,U,10787,999,2060,0,-.385E-5,0
YURI (BS),1978-039A,2025-03-10T15:09:59.432832,1.00335529,.0017276,6.6288,288.9055,318.9245,239.4535,0,U,10792,999,11411,0,-.274E-5,0
RADUGA 4,1978-073A,2025-03-10T18:23:09.413952,1.00322040,.0010663,5.9651,284.1956,25.6692,181.9162,0,U,10987,999,11495,0,.98E-6,0
EKRAN 3,1979-015A,2025-03-10T15:06:21.746304,1.00215646,.0041032,6.2856,286.8008,359.0530,187.8417,0,U,11273,999,13036,0,-.132E-5,0
RADUGA 5,1979-035A,2025-03-10T16:51:38.567808,1.00247303,.0003688,6.4552,287.5396,206.0531,1.2809,0,U,11343,999,12470,0,-.89E-6,0
GORIZONT 2,1979-062A,2025-03-10T16:51:38.567808,1.00307209,.0005097,6.8815,290.6471,350.2829,215.4579,0,U,11440,999,13337,0,-.118E-5,0
WESTAR 3,1979-072A,2025-03-10T19:58:02.901792,0.99951362,.000258,11.0013,324.1852,329.7600,193.5592,0,U,11484,999,13588,0,.45E-6,0
EKRAN 4,1979-087A,2025-03-10T18:25:17.024160,1.00249947,.0005543,6.7441,289.6483,132.8696,77.2423,0,U,11561,999,4272,0,.65E-6,0
SL-12 R/B(2),1975-123F,2025-03-10T14:05:26.098368,1.00505711,.00144,3.7424,272.3787,200.5506,131.8102,0,U,11568,999,11733,0,.42E-6,0
EKRAN 2 DEB,1977-092H,2025-03-10T15:01:13.980864,1.00167857,.0004566,5.3295,280.3010,244.3284,289.8124,0,U,11581,999,9971,0,.39E-6,0
GORIZONT 3,1979-105A,2025-03-10T15:06:59.277600,1.00347053,.0011278,7.0629,292.3619,252.5520,291.0345,0,U,11648,999,11783,0,-.183E-5,0
OPS 6393 (FLTSATCOM 3),1980-004A,2025-03-09T23:11:41.173728,1.00280332,.0021829,7.1319,308.6269,233.3518,311.0515,0,U,11669,999,16530,0,-.195E-5,0
SL-12 R/B(2),1975-097F,2025-03-10T16:38:38.601312,1.00087407,.0022491,3.5581,270.5741,208.5121,24.5960,0,U,11676,999,11449,0,-.167E-5,0
RADUGA 6,1980-016A,2025-03-10T15:08:29.354784,1.00339760,.0001457,6.8575,291.2514,305.3619,244.9852,0,U,11708,999,11751,0,-.23E-5,0
RADUGA 7,1980-081A,2025-03-10T10:00:38.600352,1.00310449,.0010199,7.0720,293.5773,304.7660,272.2178,0,U,12003,999,11865,0,.92E-6,0
SBS 1,1980-091A,2025-03-10T07:17:13.746048,0.99816380,.0005833,10.7945,320.9370,170.9771,22.3435,0,U,12065,999,4184,0,.47E-6,0
EKRAN 6,1980-104A,2025-03-10T15:11:37.017312,1.00287190,.0006681,7.3581,294.9376,63.0659,135.2188,0,U,12120,999,12276,0,-.308E-5,0
ESIAFI 1 (COMSTAR 4),1981-018A,2025-03-10T04:28:29.369856,1.00281069,.0003433,9.5970,314.3310,61.6103,298.4019,0,U,12309,999,16279,0,-.153E-5,0
SL-12 R/B(2),1980-081F,2025-03-10T09:36:38.574144,0.99966576,.000492,7.2923,294.5619,45.6083,179.0352,0,U,12447,999,15974,0,.1E-5,0
GOES 5,1981-049A,2025-03-09T04:02:25.642176,1.00329524,.0002839,10.1937,318.7571,323.3450,220.0008,0,U,12472,999,11818,0,-.231E-5,0
APPLE,1981-057B,2025-03-09T17:35:12.153984,1.00027106,.0023436,8.1001,300.6693,215.7478,155.2310,0,U,12545,999,11774,0,.14E-6,0
EKRAN 7,1981-061A,2025-03-10T19:11:38.620320,1.00286722,.0004747,7.6237,297.1560,51.8724,157.7749,0,U,12564,999,12486,0,.86E-6,0
RADUGA 9,1981-069A,2025-03-10T16:51:38.567808,1.00355052,.0001403,7.6844,297.6132,158.2896,33.5254,0,U,12618,999,4269,0,-.62E-6,0
SBS 2,1981-096A,2025-03-10T02:04:38.758944,1.00129395,.0004665,10.9999,324.5159,236.9069,294.4332,0,U,12855,999,11396,0,-.295E-5,0
RADUGA 10,1981-102A,2025-03-10T15:07:29.304192,1.00254977,.0003281,7.7889,298.7876,230.5228,308.5545,0,U,12897,999,11269,0,-.18E-5,0
SATCOM 3R,1981-114A,2025-03-10T15:18:44.884800,1.00116471,.0004625,12.6309,335.1196,310.0506,235.1035,0,U,12967,999,12342,0,-.382E-5,0
EKRAN 2 DEB,1977-092J,2025-03-10T11:06:00.196128,1.00048363,.0013013,5.4982,281.0048,293.1849,77.7006,0,U,12996,999,7987,0,-.299E-5,0
WESTAR 4,1982-014A,2025-03-09T05:41:45.769920,0.99765374,.0003871,13.1193,338.2208,295.0728,241.3783,0,U,13069,999,12115,0,-.92E-6,0
INSAT-1A,1982-031A,2025-03-10T20:02:25.627776,1.00226583,.0015419,8.1781,302.1307,53.3358,148.6363,0,U,13129,999,16177,0,.128E-5,0
COSMOS 1366,1982-044A,2025-03-10T16:51:38.567808,1.00255489,.0008483,9.3571,301.7031,108.2743,84.7676,0,U,13177,999,12896,0,-.91E-6,0
ANIK D1 (TELESAT 6),1982-082A,2025-03-09T23:15:26.366688,1.00138240,.0006429,12.7312,336.1580,335.9663,194.3520,0,U,13431,999,4195,0,-.136E-5,0
EKRAN 9,1982-093A,2025-03-10T18:23:24.426816,1.00303284,.0026892,8.1220,303.1827,359.6825,190.0597,0,U,13554,999,11535,0,.92E-6,0
GORIZONT 6,1982-103A,2025-03-10T14:51:25.036992,1.00181924,.0001863,8.3503,305.2882,339.4165,35.3384,0,U,13624,999,11629,0,-.278E-5,0
SL-12 R/B(2),1982-103E,2025-03-10T09:11:38.882688,1.00334001,.0012194,8.3111,305.1790,179.6475,173.7452,0,U,13630,999,11684,0,-.76E-6,0
SATCOM C5,1982-105A,2025-03-09T06:46:38.629056,1.00270809,.0004902,12.6278,335.7139,31.0361,157.1653,0,U,13631,999,12171,0,-.119E-5,0
SBS 3,1982-110B,2025-03-09T04:43:51.818592,0.99928931,.0006275,12.9960,337.6350,104.3653,97.4793,0,U,13651,999,4189,0,-.295E-5,0
ANIK C3 (TELESAT 5),1982-110C,2025-03-09T10:16:38.594208,0.99904478,.0000801,12.9741,337.4428,39.4043,160.1431,0,U,13652,999,4186,0,.92E-6,0
RADUGA 12,1983-028A,2025-03-10T16:38:38.601312,1.00293856,.0001268,9.1568,309.6412,33.0212,154.0881,0,U,13974,999,16473,0,-.151E-5,0
SL-12 R/B(2),1983-028F,2025-03-10T09:19:38.608320,1.00063974,.0024429,9.1879,309.7074,210.6471,133.6775,0,U,13983,999,15316,0,-.171E-5,0
SATCOM 1R,1983-030A,2025-03-09T04:07:03.381024,0.99850527,.000641,13.6124,341.8635,111.2130,66.5220,0,U,13984,999,12583,0,-.257E-5,0
GOES 6,1983-041A,2025-03-10T03:31:18.552864,1.00300496,.0001361,10.9333,324.2775,244.7939,292.3142,0,U,14050,999,21136,0,-.258E-5,0
SL-12 R/B(2),1982-044F,2025-03-10T16:51:38.567808,1.00151697,.001583,9.2477,301.0284,186.4270,359.6748,0,U,14114,999,4269,0,-.1E-7,0
PALAPA B1,1983-059C,2025-03-10T13:58:33.388896,1.00220422,.0002362,12.1767,332.6518,94.6061,115.3389,0,U,14134,999,11614,0,-.11E-5,0
GALAXY 1 (G-1),1983-065A,2025-03-10T13:19:38.624160,1.00154959,.0002179,13.9335,345.0954,297.8553,238.7367,0,U,14158,999,4198,0,-.224E-5,0
SL-12 R/B(2),1981-102F,2025-03-09T12:52:50.390976,1.00172383,.0009397,7.6936,298.3679,212.0530,147.8297,0,U,14195,999,11832,0,-.297E-5,0
INSAT-1B,1983-089B,2025-03-10T16:30:38.932704,1.00363151,.0009121,11.8059,330.1465,244.2001,303.6720,0,U,14318,999,12056,0,-.348E-5,0
GALAXY 2 (G-2),1983-098A,2025-03-10T02:37:38.715168,1.00219879,.000395,13.9405,345.4148,87.4231,116.5053,0,U,14365,999,12758,0,-.181E-5,0
EKRAN 11,1983-100A,2025-03-10T05:57:33.551136,1.00246837,.0003001,8.7511,307.8527,339.6557,20.2950,0,U,14377,999,4272,0,.89E-6,0
INTELSAT 507,1983-105A,2025-03-09T06:15:56.820384,0.99692589,.0003762,12.5305,334.2946,74.2898,141.2066,0,U,14421,999,13259,0,-.227E-5,0
